State,"County, State",isUrban,isGroupQuarter67%,pctGroupQuarter,isLILA_1_10,isLILA_half_10,"isLILA_1_20,",isLILA_Vehicle,isLowVehicleAccess,isLowIncome,povertyRate,medianFamilyIncome,isLA_1_10,isLA_half_10,isLA_1_20,isLA_half,isLA_1,isLA_10,isLA_20,isLowVehicleAccessOr20Miles,pctLA_half,pctLILA_half,pctLAKids_half,pctLASeniors_half,pctLAWhite_half,pctLABlack_half,pctLAAsian_half,pctLAnhopi_half,pctLANative_half,pctLAOtherRace_half,pctLALatine_half,pctLAHousingUnitNoVehicle_half,pctLAHousingUnitSNAP_half,pctLA_1,pctLILA_1,pctLAKids_1,pctLASeniors_1,pctLAWhite_1,pctLABlack_1,pctLAAsian_1,pctLAnhopi_1,pctLANative_1,pctLAOtherRace_1,pctLALatine_1,pctLAHousingUnitNoVehicle_1,pctLAHousingUnitSNAP_1,pctLA_10,pctLILA_10,pctLAKids_10,pctLASeniors_10,pctLAWhite_10,pctLABlack_10,pctLAAsian_10,pctLAnhopi_10,pctLANative_10,pctLAOtherRace_10,pctLALatine_10,pctLAHousingUnitNoVehicle_10,pctLAHousingUnitSNAP_10,pctLA_20,pctLILA_20,pctLAKids_20,pctLASeniors_20,pctLAWhite_20,pctLABlack_20,pctLAAsian_20,pctLAnhopi_20,pctLANative_20,pctLAOtherRace_20,pctLALatine_20,pctLAHousingUnitNoVehicle_20,pctLAHousingUnitNAP_20,Population,housingUnit,numGroupQuarter,numLA_1_10,numLA_half_10,numLA_1_20,numLILA_1_10,numLILA_half_10,numLILA_1_20,numLA_half,numLILA_half,numLAKids_half,numLASeniors_half,numLAWhite_half,numLABlack_half,numLAAsian_half,numLAnhopi_half,numLANative_half,numLAOtherRace_half,numLALatine_half,numLAHousingUnitNoVehicle_half,numLAHousingUnitSNAP_half,numLA_1,numLILA_1,numLAKids_1,numLASeniors_1,numLAWhite_1,numLABlack_1,numLAAsian_1,numLAnhopi_1,numLANative_1,numLAOtherRace_1,numLALatine_1,numLAHousingUnitNoVehicle_1,numLAHousingUnitSNAP_1,numLA_10,numLILA_10,numLAKids_10,numLASeniors_10,numLAWhite_10,numLABlack_10,numLAAsian_10,numLAnhopi_10,numLANative_10,numLAOtherRace_10,numLALatine_10,numLAHousingUnitNoVehicle_10,numLAHousingUnitSNAP_10,numLA_20,numLILA_20,numLAKids_20,numLASeniors_20,numLAWhite_20,numLABlack_20,numLAAsian_20,numLAnhopi_20,numLANative_20,numLAOtherRace_20,numLALatine_20,numLAHousingUnitNoVehicle_20,numLAHousingUnitSNAP_20,numLI,numKids,numSeniors,numWhite,numBlack,numAsian,numNHOPI,numNative,numOtherRace,numLatine,numHousingUnitNoVehicle,numHousingUnitSNAP,pctFoodInsecure,numFoodInsecure,pctBlackFoodInsecure,pctLatineFoodInsecure,pctWhiteFoodInsecure,SNAPthreshold,pctFIbelowSNAP,pctFIaboveSNAP,pctKidsFoodInsecure,numKidsFoodInsecure,pctKidsIncomeBelow185,pctKidsIncomeAbove185,costPerMeal,weeklyFoodBudget,weeklyBudgetFoodInsecureByPop,rangeRuralUrban,USstateRegion
SC,"Abbeville County, South Carolina",0.16666666666666666,0.0,3.393333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,21.866666666666664,48245.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,93.48833333333334,40.556666666666665,20.948333333333334,15.64,68.72166666666666,22.778333333333336,0.25833333333333336,0.02666666666666667,0.24833333333333332,1.4533333333333334,0.9316666666666666,8.86,18.463333333333335,80.11166666666666,33.91,17.875,13.223333333333334,61.155,17.301666666666666,0.205,0.02666666666666667,0.21833333333333335,1.2083333333333333,0.775,6.253333333333333,15.203333333333333,43.129999999999995,25.54,9.78,7.425,21.5,20.485,0.025,0.0,0.165,0.965,0.475,4.575,10.555,,,,,,,,,,,,,,25417,9990,901.0,5176.0,7104.0,2529.0,2245.0,3317.0,678.0,23281.0,9784.0,5262.0,3836.0,16882.0,5904.0,71.0,5.0,57.0,362.0,242.0,912.0,1872.0,18958.0,7585.0,4249.0,3068.0,14528.0,4043.0,52.0,5.0,48.0,281.0,191.0,559.0,1440.0,2647.0,1567.0,601.0,456.0,1319.0,1258.0,2.0,0.0,10.0,59.0,29.0,116.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10322.0,5787.0,4203.0,17691.0,7187.0,75.0,5.0,60.0,399.0,255.0,1014.0,1955.0,12.5,3080.0,20.0,,10.0,130.0,64.0,36.0,17.7,900.0,71.0,29.0,3.3,18.61,1739000.0,6.0,Southeast
LA,"Acadia Parish, Louisiana",0.5,0.0,1.6516666666666666,0.25,0.5,0.25,0.25,0.3333333333333333,0.6666666666666666,24.816666666666666,54040.583333333336,0.25,0.5,0.25,0.5,0.25,0.0,0.0,0.3333333333333333,71.8525,27.88,19.749166666666667,8.555833333333334,61.92333333333334,8.358333333333333,0.15416666666666667,0.008333333333333333,0.19333333333333333,1.2133333333333334,1.1483333333333332,4.5216666666666665,12.229166666666666,52.92583333333334,18.308333333333334,14.495833333333332,5.896666666666667,49.29333333333333,2.529166666666667,0.09583333333333333,0.0075,0.13083333333333333,0.8658333333333333,0.8733333333333334,2.3958333333333335,7.900833333333334,1.96,0.79,0.43,0.45,1.67,0.26,0.0,0.0,0.0,0.02,0.03,0.43,0.16,,,,,,,,,,,,,,61773,22841,1050.0,4092.0,14977.0,4022.0,1968.0,7624.0,1940.0,43547.0,16733.0,12008.0,5190.0,37356.0,5229.0,95.0,5.0,116.0,746.0,701.0,1002.0,2690.0,31316.0,10500.0,8615.0,3466.0,29022.0,1631.0,57.0,4.0,78.0,520.0,521.0,480.0,1629.0,70.0,28.0,15.0,16.0,60.0,9.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27464.0,16863.0,7886.0,49127.0,11175.0,137.0,6.0,163.0,1165.0,1060.0,1845.0,4359.0,18.2,11390.0,31.0,22.0,14.0,130.0,62.0,38.0,26.0,4250.0,80.0,20.0,3.06,17.24,5956000.0,2.0,Southwest
VA,"Accomack County, Virginia",0.0,0.0,0.9222222222222223,0.1111111111111111,0.1111111111111111,0.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,17.811111111111114,54276.875,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,93.96,35.89888888888889,19.612222222222222,15.794444444444444,66.44222222222223,22.252222222222223,0.4366666666666667,0.09,0.33222222222222225,4.408888888888889,6.5488888888888885,8.854444444444445,12.151111111111112,83.99555555555555,32.64111111111111,17.704444444444444,13.681111111111111,59.306666666666665,19.977777777777778,0.3933333333333333,0.0811111111111111,0.30888888888888894,3.928888888888889,6.037777777777778,8.121111111111112,11.139999999999999,8.26,3.39,1.535,1.77,8.11,0.045,0.035,0.0,0.0,0.07,0.025,5.59,0.575,,,,,,,,,,,,,,33164,13798,428.0,727.0,727.0,0.0,298.0,298.0,0.0,30794.0,13236.0,6482.0,5812.0,19984.0,8864.0,164.0,36.0,124.0,1626.0,2574.0,1397.0,1854.0,27105.0,11970.0,5731.0,5089.0,17549.0,7832.0,147.0,30.0,116.0,1431.0,2335.0,1274.0,1681.0,727.0,298.0,135.0,156.0,714.0,4.0,3.0,0.0,0.0,6.0,2.0,226.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14271.0,6925.0,6336.0,21662.0,9303.0,183.0,40.0,135.0,1841.0,2850.0,1352.0,1920.0,11.8,3860.0,20.0,22.0,9.0,130.0,71.0,29.0,19.8,1370.0,67.0,33.0,3.02,17.0,1990000.0,8.0,Mid-Atlantic
ID,"Ada County, Idaho",0.9322033898305084,0.01694915254237288,2.7467796610169493,0.01694915254237288,0.1864406779661017,0.01694915254237288,0.05084745762711865,0.1864406779661017,0.2033898305084746,11.969491525423729,80933.16949152542,0.5254237288135594,0.9152542372881356,0.5254237288135594,0.9152542372881356,0.5254237288135594,0.0,0.0,0.1864406779661017,74.18948275862068,19.135344827586206,18.90448275862069,8.24448275862069,67.205,0.8108620689655173,1.7758620689655173,0.16517241379310346,0.48517241379310344,3.7467241379310345,5.004655172413793,2.424655172413793,5.34551724137931,42.188863636363635,8.566363636363636,11.541818181818183,4.22,38.64931818181818,0.3552272727272727,1.0002272727272727,0.10590909090909091,0.2609090909090909,1.8172727272727272,2.479318181818182,1.0277272727272726,2.2713636363636365,1.8900000000000001,0.36,0.51,0.195,1.5899999999999999,0.05,0.0,0.0,0.0,0.25,0.41000000000000003,0.055,0.35,0.015,0.005,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.005,392365,148445,9714.0,119470.0,269544.0,119262.0,24475.0,68580.0,24431.0,290605.0,73229.0,80159.0,29262.0,264173.0,3017.0,6606.0,637.0,1802.0,14371.0,19476.0,3274.0,7348.0,134683.0,28151.0,39413.0,12200.0,123635.0,1119.0,2903.0,339.0,798.0,5887.0,8204.0,1122.0,2315.0,210.0,45.0,59.0,23.0,175.0,4.0,0.0,0.0,0.0,30.0,52.0,1.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,114535.0,103706.0,41048.0,354347.0,4441.0,9407.0,861.0,2610.0,20699.0,27905.0,6431.0,12639.0,8.8,40370.0,,14.0,9.0,130.0,43.0,57.0,8.7,9570.0,58.0,42.0,3.53,19.91,24382000.0,2.0,Western
IA,"Adair County, Iowa",0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,9.466666666666667,68309.66666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,75.49666666666667,21.69666666666667,16.713333333333335,15.329999999999998,74.35000000000001,0.08,0.21333333333333335,0.016666666666666666,0.043333333333333335,0.7866666666666666,0.59,2.9333333333333336,9.206666666666667,69.03333333333333,20.273333333333333,15.413333333333332,13.563333333333334,68.05666666666667,0.07666666666666667,0.16666666666666666,0.016666666666666666,0.04,0.6733333333333333,0.48333333333333334,2.67,8.5,15.77,4.550000000000001,3.67,3.115,15.430000000000001,0.005,0.025,0.0,0.015,0.28500000000000003,0.025,0.58,1.96,,,,,,,,,,,,,,7682,3292,151.0,617.0,617.0,0.0,177.0,177.0,0.0,5496.0,1575.0,1217.0,1132.0,5414.0,5.0,17.0,1.0,3.0,55.0,44.0,93.0,285.0,4917.0,1448.0,1101.0,973.0,4849.0,5.0,13.0,1.0,3.0,46.0,34.0,82.0,257.0,617.0,177.0,143.0,120.0,604.0,0.0,1.0,0.0,1.0,11.0,1.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,1725.0,1644.0,7558.0,11.0,22.0,1.0,4.0,86.0,101.0,122.0,371.0,9.6,680.0,,,10.0,160.0,57.0,43.0,13.8,210.0,69.0,31.0,3.19,17.96,370000.0,8.0,Midwest
KY,"Adair County, Kentucky",0.0,0.0,3.7199999999999998,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,22.32857142857143,44180.857142857145,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,91.51714285714286,45.42142857142858,22.025714285714287,13.467142857142859,88.03999999999999,1.4200000000000002,0.14142857142857143,0.021428571428571432,0.15857142857142856,1.7328571428571429,1.58,3.7142857142857144,15.54857142857143,84.19142857142857,42.16428571428571,20.442857142857143,12.477142857142857,81.53714285714285,0.8985714285714286,0.08571428571428573,0.011428571428571429,0.1357142857142857,1.52,1.4242857142857144,3.07,14.540000000000001,17.3625,9.205,4.425,2.6550000000000002,16.71,0.1825,0.0,0.015,0.0025,0.45499999999999996,0.3825,0.7525,2.93,,,,,,,,,,,,,,18656,7285,1055.0,1206.0,1206.0,0.0,635.0,635.0,0.0,16197.0,7840.0,3854.0,2359.0,15508.0,305.0,35.0,5.0,33.0,313.0,275.0,305.0,1066.0,14058.0,6890.0,3394.0,2071.0,13608.0,153.0,19.0,2.0,26.0,250.0,230.0,233.0,951.0,1206.0,635.0,309.0,184.0,1160.0,13.0,0.0,1.0,0.0,32.0,26.0,20.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8609.0,4206.0,2859.0,17696.0,503.0,45.0,5.0,36.0,371.0,319.0,443.0,1191.0,16.7,3210.0,20.0,,16.0,200.0,81.0,19.0,21.1,790.0,78.0,22.0,2.78,15.69,1527000.0,7.0,Southeast
MO,"Adair County, Missouri",0.5714285714285714,0.14285714285714285,14.572857142857142,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,32.57142857142857,58974.666666666664,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,82.01285714285714,39.30714285714286,15.114285714285714,9.108571428571429,76.81857142857143,1.4085714285714286,1.5614285714285714,0.05285714285714286,0.25,1.917142857142857,1.612857142857143,7.557142857142857,7.535714285714286,49.94166666666666,19.224999999999998,11.885,7.455000000000001,48.1,0.425,0.405,0.008333333333333333,0.19000000000000003,0.8116666666666666,0.6733333333333333,5.103333333333333,4.971666666666667,17.05,6.47,4.195,2.745,16.615000000000002,0.055,0.025,0.0,0.095,0.265,0.04,1.495,2.045,,,,,,,,,,,,,,25607,9877,2900.0,6986.0,13614.0,5864.0,2953.0,7026.0,2520.0,22071.0,10054.0,4326.0,2684.0,20725.0,363.0,389.0,12.0,69.0,512.0,436.0,521.0,853.0,13036.0,5095.0,3029.0,1916.0,12466.0,141.0,133.0,2.0,48.0,246.0,206.0,340.0,498.0,1122.0,433.0,277.0,179.0,1092.0,3.0,2.0,0.0,6.0,19.0,3.0,40.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10350.0,4972.0,3210.0,24066.0,408.0,453.0,13.0,79.0,588.0,523.0,734.0,1026.0,15.2,3850.0,,,16.0,130.0,64.0,36.0,13.6,640.0,89.0,11.0,2.75,15.49,1809000.0,7.0,Mountain Plains
OK,"Adair County, Oklahoma",0.2,0.0,0.40599999999999997,0.2,0.2,0.2,0.2,0.2,1.0,28.98,41346.6,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,87.072,47.58200000000001,24.002,11.274000000000001,39.428,0.168,0.45200000000000007,0.004,36.608,10.414,3.2920000000000003,5.3759999999999994,19.568,77.38399999999999,41.63,20.968,9.994,35.394,0.14400000000000002,0.386,0.004,32.35,9.11,2.7119999999999997,4.202,16.6,9.1775,4.29,2.6774999999999998,1.4375,4.797499999999999,0.04,0.0025,0.0,3.5625,0.775,0.1825,0.625,1.8175,,,,,,,,,,,,,,22683,8156,92.0,2189.0,3486.0,720.0,1172.0,1976.0,444.0,19677.0,10847.0,5455.0,2539.0,8604.0,42.0,109.0,1.0,8547.0,2373.0,767.0,438.0,1594.0,17318.0,9400.0,4716.0,2231.0,7606.0,34.0,92.0,1.0,7529.0,2057.0,626.0,331.0,1331.0,1469.0,728.0,410.0,227.0,712.0,7.0,1.0,0.0,613.0,137.0,31.0,36.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12402.0,6357.0,2934.0,9757.0,55.0,130.0,1.0,9823.0,2917.0,1197.0,543.0,1855.0,20.2,4480.0,,20.0,17.0,130.0,62.0,38.0,28.4,1700.0,82.0,19.0,2.85,16.04,2179000.0,6.0,Southwest
CO,"Adams County, Colorado",0.9375,0.0,1.1167708333333333,0.17708333333333334,0.4791666666666667,0.17708333333333334,0.08333333333333333,0.10416666666666667,0.5208333333333334,12.0625,75481.57291666667,0.4166666666666667,0.90625,0.3958333333333333,0.8854166666666666,0.3958333333333333,0.020833333333333332,0.0,0.10416666666666667,69.4923404255319,20.17148936170213,19.986489361702127,5.614468085106383,51.93276595744681,2.0038297872340425,2.6293617021276594,0.08553191489361703,0.884468085106383,11.95595744680851,24.833723404255316,2.751276595744681,6.435212765957447,32.99567164179105,8.307611940298507,9.802835820895522,2.286865671641791,25.56925373134328,1.0859701492537315,1.0967164179104478,0.037462686567164186,0.3365671641791045,4.87044776119403,9.915223880597015,0.9705970149253732,2.422388059701493,14.02,4.0200000000000005,4.025,1.05,12.445,0.075,0.09000000000000001,0.125,0.07,1.21,1.9049999999999998,0.33499999999999996,0.55,0.84,0.23,0.18,0.07,0.83,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.04,441603,153764,4027.0,79140.0,274481.0,77961.0,20910.0,80018.0,20572.0,301196.0,85507.0,87177.0,24027.0,225528.0,9152.0,10708.0,398.0,3823.0,51579.0,106771.0,4039.0,9285.0,101040.0,25118.0,29931.0,7087.0,78549.0,3426.0,3145.0,135.0,1009.0,14774.0,30127.0,968.0,2512.0,1215.0,348.0,349.0,91.0,1079.0,7.0,8.0,11.0,6.0,104.0,165.0,11.0,18.0,36.0,10.0,8.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,149580.0,126123.0,36862.0,323795.0,13539.0,15931.0,591.0,5916.0,81831.0,167878.0,7794.0,16254.0,8.8,44230.0,13.0,16.0,8.0,200.0,83.0,17.0,11.6,15780.0,87.0,13.0,3.28,18.47,24779000.0,1.0,Mountain Plains
ID,"Adams County, Idaho",0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,10.8,56669.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,81.965,29.490000000000002,15.46,16.57,78.685,0.10500000000000001,0.345,0.02,0.835,1.975,1.835,2.18,4.74,78.41499999999999,27.84,14.915,15.515,75.215,0.10500000000000001,0.345,0.02,0.795,1.935,1.785,2.0,4.42,27.325000000000003,9.045,4.515,6.14,26.03,0.03,0.145,0.0,0.39,0.73,0.48,0.61,1.42,5.58,1.92,1.07,1.06,5.24,0.03,0.0,0.0,0.115,0.2,0.17,0.0,0.29000000000000004,3976,1748,21.0,1014.0,1014.0,207.0,342.0,342.0,73.0,3173.0,1170.0,588.0,664.0,3048.0,4.0,14.0,1.0,32.0,74.0,69.0,42.0,86.0,3014.0,1097.0,564.0,618.0,2893.0,4.0,14.0,1.0,30.0,72.0,67.0,39.0,79.0,1014.0,342.0,165.0,233.0,966.0,1.0,6.0,0.0,14.0,26.0,16.0,11.0,24.0,207.0,73.0,39.0,40.0,195.0,1.0,0.0,0.0,4.0,7.0,6.0,1.0,5.0,1596.0,763.0,828.0,3821.0,5.0,16.0,2.0,39.0,93.0,94.0,55.0,114.0,13.5,550.0,,,12.0,130.0,40.0,60.0,19.0,130.0,71.0,29.0,3.32,18.73,312000.0,9.0,Western
IL,"Adams County, Illinois",0.7222222222222222,0.0,4.2411111111111115,0.05555555555555555,0.3888888888888889,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.5,14.899999999999999,61058.166666666664,0.2777777777777778,0.7777777777777778,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.16666666666666666,67.95833333333333,20.778333333333332,15.917222222222222,11.674444444444443,63.58833333333333,2.5555555555555554,0.3983333333333333,0.008888888888888889,0.10888888888888888,1.2972222222222223,0.71,5.398333333333333,8.947777777777778,48.11076923076923,9.922307692307694,11.583076923076923,8.093076923076923,46.98384615384615,0.3323076923076923,0.21461538461538462,0.0038461538461538464,0.04923076923076923,0.5223076923076924,0.3761538461538461,1.2823076923076924,3.382307692307692,23.936666666666667,5.616666666666667,5.766666666666667,4.216666666666666,23.683333333333334,0.043333333333333335,0.006666666666666667,0.013333333333333334,0.016666666666666666,0.17666666666666667,0.07333333333333333,0.7799999999999999,2.3266666666666667,,,,,,,,,,,,,,67103,27375,2287.0,11088.0,30098.0,7525.0,2149.0,9697.0,1298.0,49361.0,13928.0,11749.0,8270.0,46574.0,1522.0,328.0,7.0,73.0,860.0,501.0,1299.0,2397.0,29120.0,6096.0,7108.0,4702.0,28436.0,202.0,148.0,3.0,32.0,298.0,227.0,307.0,867.0,3563.0,851.0,863.0,615.0,3524.0,7.0,1.0,2.0,3.0,28.0,10.0,42.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19497.0,15461.0,11747.0,62868.0,2331.0,441.0,12.0,111.0,1340.0,776.0,2063.0,3712.0,11.1,7310.0,23.0,14.0,10.0,165.0,52.0,48.0,13.8,2060.0,72.0,28.0,2.91,16.39,3634000.0,5.0,Midwest
IN,"Adams County, Indiana",0.42857142857142855,0.0,1.1371428571428572,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,15.528571428571428,63514.857142857145,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.2857142857142857,93.16571428571429,31.75,28.595714285714287,12.742857142857144,90.47142857142856,0.2842857142857143,0.21428571428571427,0.02,0.18,1.9985714285714287,3.7728571428571427,10.722857142857142,6.487142857142857,72.9,22.924285714285713,23.334285714285716,9.41,71.09,0.20142857142857143,0.1285714285714286,0.015714285714285715,0.13857142857142857,1.327142857142857,2.4114285714285715,9.574285714285713,3.9771428571428573,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,34387,12011,421.0,6024.0,10280.0,6023.0,1632.0,3550.0,1632.0,32222.0,11564.0,10188.0,4343.0,31312.0,96.0,68.0,7.0,65.0,675.0,1274.0,1232.0,830.0,25684.0,8656.0,8518.0,3248.0,25059.0,70.0,42.0,6.0,51.0,456.0,834.0,1093.0,509.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12740.0,10714.0,4750.0,33349.0,107.0,78.0,7.0,71.0,775.0,1412.0,1336.0,994.0,12.7,4500.0,,20.0,12.0,130.0,61.0,39.0,16.0,1780.0,85.0,16.0,2.79,15.72,2146000.0,6.0,Midwest
IA,"Adams County, Iowa",0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,11.25,65040.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.86,22.15,15.215,15.645,72.475,0.185,0.32,0.0,0.41500000000000004,0.46,0.665,1.3450000000000002,5.52,63.74,19.419999999999998,13.375,12.575,62.61,0.16499999999999998,0.19,0.0,0.405,0.375,0.59,0.89,4.43,7.28,2.285,1.555,1.685,7.2700000000000005,0.0,0.0,0.0,0.0,0.01,0.125,0.09,0.475,,,,,,,,,,,,,,4029,1715,114.0,259.0,259.0,0.0,81.0,81.0,0.0,2833.0,840.0,578.0,615.0,2778.0,7.0,14.0,0.0,16.0,19.0,25.0,24.0,93.0,2371.0,715.0,493.0,474.0,2327.0,6.0,8.0,0.0,16.0,15.0,22.0,15.0,72.0,259.0,81.0,55.0,59.0,259.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.0,849.0,860.0,3953.0,8.0,24.0,0.0,19.0,25.0,37.0,63.0,145.0,9.4,350.0,,,9.0,160.0,51.0,49.0,13.6,100.0,59.0,41.0,3.04,17.14,182000.0,9.0,Midwest
MS,"Adams County, Mississippi",0.6666666666666666,0.0,4.262222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.8888888888888888,34.47777777777778,35562.666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,88.72222222222223,49.87,19.75,14.91888888888889,35.58111111111111,50.72555555555556,0.3188888888888889,0.008888888888888889,0.2733333333333333,1.8177777777777777,3.537777777777778,8.694444444444445,19.57111111111111,62.0,35.025555555555556,13.572222222222223,9.567777777777778,23.793333333333333,36.34777777777778,0.18222222222222223,0.008888888888888889,0.21222222222222223,1.4544444444444444,3.1555555555555554,6.300000000000001,13.987777777777778,3.1466666666666665,1.1466666666666667,0.7200000000000001,0.49,1.4166666666666667,1.6300000000000001,0.006666666666666667,0.0,0.006666666666666667,0.09000000000000001,0.04,0.21999999999999997,0.7833333333333333,0.03,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,32297,12643,2320.0,9127.0,14972.0,8766.0,4975.0,8083.0,4823.0,28632.0,15318.0,6230.0,4524.0,12538.0,14989.0,115.0,4.0,97.0,887.0,2087.0,943.0,2326.0,21509.0,11395.0,4541.0,3115.0,9514.0,11054.0,74.0,4.0,81.0,785.0,1994.0,672.0,1719.0,501.0,186.0,114.0,81.0,264.0,218.0,1.0,0.0,2.0,17.0,8.0,11.0,41.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16387.0,7195.0,5116.0,13793.0,17287.0,127.0,4.0,104.0,982.0,2150.0,998.0,2357.0,21.3,6670.0,30.0,29.0,16.0,130.0,66.0,34.0,31.6,2050.0,66.0,35.0,3.03,17.07,3454000.0,5.0,Southeast
NE,"Adams County, Nebraska",0.7777777777777778,0.0,5.054444444444444,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,14.233333333333333,67076.55555555556,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,74.37222222222222,24.28222222222222,17.716666666666665,12.818888888888889,68.63777777777779,0.43333333333333335,1.0055555555555555,0.035555555555555556,0.28,3.9777777777777774,5.782222222222222,3.94,7.890000000000001,51.92875,16.7725,12.307500000000001,10.25625,48.349999999999994,0.24125,0.545,0.01125,0.16749999999999998,2.6149999999999998,3.7487500000000002,2.72625,5.5,56.39,14.02,14.33,8.64,56.0,0.01,0.04,0.0,0.05,0.3,0.38,1.55,2.97,,,,,,,,,,,,,,31364,12466,1554.0,10985.0,21132.0,9665.0,3820.0,7192.0,3492.0,25482.0,7859.0,6099.0,4110.0,23547.0,163.0,362.0,13.0,94.0,1301.0,1909.0,513.0,1008.0,15052.0,4459.0,3639.0,2757.0,14005.0,81.0,184.0,3.0,43.0,736.0,1061.0,287.0,589.0,1320.0,328.0,335.0,202.0,1310.0,0.0,1.0,0.0,1.0,7.0,9.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9154.0,7517.0,4838.0,28821.0,248.0,441.0,15.0,131.0,1708.0,2544.0,705.0,1334.0,13.0,4100.0,,21.0,11.0,130.0,47.0,53.0,17.4,1310.0,72.0,28.0,3.02,17.0,2114000.0,4.0,Mountain Plains
